time,time_start,time_end,posterior,transition_type,value,optimal_split,X1,X1_squared,X2,X2_squared,X3,X3_squared
16,10.0,10.625,x=1.257: 0.200 | x=5.027: 0.800,no information,1.7316682819111597,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
16,10.0,10.625,x=1.257: 0.400 | x=5.027: 0.600,no information,1.758288581137668,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
16,10.0,10.625,x=1.257: 1.000,no information,0.27474843050872777,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
16,10.0,10.625,x=0.000: 0.400 | x=3.770: 0.600,no information,2.457851802842234,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
16,10.0,10.625,x=0.000: 0.600 | x=3.770: 0.400,no information,2.586854620910268,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
17,10.625,11.25,x=2.513: 1.000,no information,0.11184840056104946,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
17,10.625,11.25,x=1.257: 0.200 | x=5.027: 0.800,no information,1.3196814041954759,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
17,10.625,11.25,x=1.257: 0.400 | x=5.027: 0.600,no information,1.5197003982293498,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
17,10.625,11.25,x=1.257: 1.000,no information,0.8661989644286658,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
17,10.625,11.25,x=0.000: 0.400 | x=3.770: 0.600,no information,2.091555898371935,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
17,10.625,11.25,x=0.000: 0.600 | x=3.770: 0.400,no information,2.2063478719987284,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
18,11.25,11.875,x=2.513: 1.000,no information,0.11799582642762965,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
18,11.25,11.875,x=1.257: 0.200 | x=5.027: 0.800,no information,0.6927022811006152,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
18,11.25,11.875,x=1.257: 0.400 | x=5.027: 0.600,no information,0.9858423247739496,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
18,11.25,11.875,x=1.257: 1.000,no information,1.1240157621133007,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
18,11.25,11.875,x=0.000: 0.400 | x=3.770: 0.600,no information,1.7207659665767236,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
18,11.25,11.875,x=0.000: 0.600 | x=3.770: 0.400,no information,1.6740865970593939,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
19,11.875,12.5,x=2.513: 1.000,no information,0.0719478869853607,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
19,11.875,12.5,x=1.257: 0.200 | x=5.027: 0.800,no information,0.09801885198497096,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
19,11.875,12.5,x=1.257: 0.400 | x=5.027: 0.600,no information,0.4055094523630612,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
19,11.875,12.5,x=1.257: 1.000,no information,0.944791700205778,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
19,11.875,12.5,x=0.000: 0.400 | x=3.770: 0.600,no information,1.4337718464645994,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
19,11.875,12.5,x=0.000: 0.600 | x=3.770: 0.400,no information,1.1909162304744947,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
20,12.5,13.125,x=2.513: 1.000,no information,0.011759124538114077,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
20,12.5,13.125,x=1.257: 0.200 | x=5.027: 0.800,no information,-0.14776736334455032,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
20,12.5,13.125,x=1.257: 0.400 | x=5.027: 0.600,no information,0.12815526088335116,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
20,12.5,13.125,x=1.257: 1.000,no information,0.4989525022878939,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
20,12.5,13.125,x=0.000: 0.400 | x=3.770: 0.600,no information,1.3305226406442658,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
20,12.5,13.125,x=0.000: 0.600 | x=3.770: 0.400,no information,1.0037121269073483,1.000 -> [x=0.000: 0.600 | x=3.770: 0.400],1.1561267974406257,1.3366291717603176,-1.0221996011617946,1.0448920246153321,0.09488407748878114,0.009002988160897023
21,13.125,13.75,x=2.513: 1.000,no information,-0.032541574995524014,1.000 -> [x=2.513: 1.000],-0.2453445089195333,0.06019392805696695,-0.4398467510711359,0.1934651644278338,-0.3670112803697448,0.13469727991863942
21,13.125,13.75,x=1.257: 0.200 | x=5.027: 0.800,no information,0.22477254109338685,1.000 -> [x=1.257: 0.200 | x=5.027: 0.800],-1.2443665492171405,1.5484481088105742,1.1430702196468265,1.3066095270434444,-0.16758397372810818,0.028084388250503252
21,13.125,13.75,x=1.257: 0.400 | x=5.027: 0.600,no information,0.3848743418624704,1.000 -> [x=1.257: 0.400 | x=5.027: 0.600],-1.0883152429658969,1.184430068071919,1.1437702531896137,1.308210392081433,0.1706877798376895,0.029134318185919567
21,13.125,13.75,x=1.257: 1.000,no information,0.01798648981149309,1.000 -> [x=1.257: 1.000],-0.6201613242121661,0.3846000680485874,1.1458703538179755,1.3130188677589325,1.1855030405350824,1.4054174591179251
21,13.125,13.75,x=0.000: 0.400 | x=3.770: 0.600,no information,1.6058243559948941,1.000 -> [x=0.000: 0.400 | x=3.770: 0.600],1.109796891159458,1.2316491396271978,-0.8261941876890841,0.6825968357712257,-0.40752011036021313,0.1660726403480003
