trajectory,probability,time_index,time,node,norm_X,X1,X2,X3
0,0.2,21,13.125,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,22,13.75,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,23,14.375,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,24,15.0,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,25,15.625,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,26,16.25,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,27,16.875,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,28,17.5,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,29,18.125,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,30,18.75,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,31,19.375,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,32,20.0,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,33,20.625,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,34,21.25,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,35,21.875,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,36,22.5,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,37,23.125,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,38,23.75,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,39,24.375,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,40,25.0,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,41,25.625,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,42,26.25,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,43,26.875,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,44,27.5,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,45,28.125,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,46,28.75,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,47,29.375,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,48,30.0,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,49,30.625,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,50,31.25,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,51,31.875,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,52,32.5,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,53,33.125,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,54,33.75,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,55,34.375,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,56,35.0,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
0,0.2,57,35.625,p20,0.6231824551473188,-0.2453445089195333,-0.4398467510711359,-0.3670112803697448
